Bug: SE vs [dark, grass, psychic] | NVE vs [fairy, fighting, fire, flying, ghost, poison, steel] | NO EFFECT vs []
Dark: SE vs [ghost, psychic] | NVE vs [dark, fairy, fighting] | NO EFFECT vs []
Dragon: SE vs [dragon] | NVE vs [steel] | NO EFFECT vs [fairy]
Electric: SE vs [flying, water] | NVE vs [dragon, electric, grass] | NO EFFECT vs [ground]
Fairy: SE vs [dark, dragon, fighting] | NVE vs [fire, poison, steel] | NO EFFECT vs []
Fighting: SE vs [dark, ice, normal, rock, steel] | NVE vs [bug, fairy, flying, poison, psychic] | NO EFFECT vs [ghost]
Fire: SE vs [bug, grass, ice, steel] | NVE vs [dragon, fire, rock, water] | NO EFFECT vs []
Flying: SE vs [bug, fighting, grass] | NVE vs [electric, rock, steel] | NO EFFECT vs []
Ghost: SE vs [ghost, psychic] | NVE vs [dark] | NO EFFECT vs [normal]
Grass: SE vs [ground, rock, water] | NVE vs [bug, dragon, fire, flying, grass, poison, steel] | NO EFFECT vs []
Ground: SE vs [electric, fire, poison, rock, steel] | NVE vs [bug, grass] | NO EFFECT vs [flying]
Ice: SE vs [dragon, flying, grass, ground] | NVE vs [fire, ice, steel, water] | NO EFFECT vs []
Normal: SE vs [] | NVE vs [rock, steel] | NO EFFECT vs [ghost]
Poison: SE vs [fairy, grass] | NVE vs [ghost, ground, poison, rock] | NO EFFECT vs [steel]
Psychic: SE vs [fighting, poison] | NVE vs [psychic, steel] | NO EFFECT vs [dark]
Rock: SE vs [bug, fire, flying, ice] | NVE vs [fighting, ground, steel] | NO EFFECT vs []
Steel: SE vs [fairy, ice, rock] | NVE vs [electric, fire, steel, water] | NO EFFECT vs []
Stellar: SE vs [] | NVE vs [] | NO EFFECT vs []
Water: SE vs [fire, ground, rock] | NVE vs [dragon, grass, water] | NO EFFECT vs []
